Index;ID;Lat;Lon;Elv;Yr1;YrEnd;Yrs;Name;Prov;Fit
605;7042870;47.75;-70.11;365;1970;1990;16;GRAND FONDS;QC;Lin
606;7043018;50.28;-63.6;37;1973;1992;13;HAVRE-SAINT-PIERRE A;QC;Lin
607;7043BP9;48.06;-69.55;5;2013;2024;12;ILE ROUGE;QC;Lin
608;7045401;50.19;-61.81;11;1969;2024;38;NATASHQUAN AIRPORT;QC;Lin
609;7045910;49.73;-67.16;15;1985;1999;12;PENTECOTE;QC;Lin
610;7047914;50.21;-66.25;52;1969;2024;44;SEPT-ILES;QC;Lin
611;704Q003;50.16;-66.43;24;1998;2024;26;POINTE NOIRE CS;QC;Lin
612;704S001;49.25;-68.14;129;2005;2024;19;BAIE-COMEAU;QC;Lin
613;7051163;49.25;-65.32;29;1967;2024;37;CAP-MADELEINE;QC;Lin
614;7051175;49.01;-66.4;229;1969;1993;23;CAP SEIZE;QC;Lin
615;7052603;48.78;-64.48;36;1980;2024;28;GASPE AIRPORT;QC;Lin
616;7052820;48.38;-64.53;8;1967;1997;21;GRANDE RIVIERE;QC;Lin
617;7053038;49.08;-61.7;7;2008;2021;11;HEATH POINT;QC;Lin
618;7053649;48.28;-67.56;235;1973;1999;23;LAC HUMQUI;QC;Lin
619;7053KGR;47.42;-61.77;7;1983;2024;32;ILES DE LA MADELEINE;QC;Lin
620;7054096;47.35;-70.03;31;1962;2024;56;LA POCATIERE;QC;Lin
621;7054640;48.85;-67.46;30;1981;1995;12;MATANE;QC;Lin
622;7055122;48.6;-68.19;55;1968;2024;47;MONT-JOLI;QC;Lin
623;7055380;48.95;-65.51;574;1969;1995;18;MURDOCHVILLE;QC;Lin
624;7055675;47.6;-68.8;320;1985;1999;12;NOTRE DAME DU LAC;QC;Poly
625;7055705;48.1;-66.3;7;1971;1999;27;NOUVELLE;QC;Lin
626;7056202;49.83;-64.29;55;1973;2024;27;PORT-MENIER;QC;Lin
627;7056480;48.45;-68.51;35;1964;1999;25;RIMOUSKI;QC;Lin
628;7056563;49.01;-64.4;40;1967;1977;11;RIVIERE AU RENARD;QC;Lin
629;7056616;47.8;-69.54;146;1968;2024;32;RIVIERE-DU-LOUP;QC;Lin
630;7056814;47.98;-67.06;274;1981;1998;15;ST ALEXIS DE MATAPEDIA;QC;Lin
631;7056922;47.45;-69.78;198;1969;1999;21;ST BRUNO KAMOURASKA;QC;Lin
632;7056970;48.33;-68.05;323;1970;1993;21;ST CHARLES GARNIER;QC;Lin
633;7057287;46.41;-70.46;510;1966;1999;31;STE GERMAINE;QC;Lin
634;7057395;48.88;-67.11;350;1971;1999;25;ST JEAN DE CHERBOURG;QC;Lin
635;7057518;46.55;-70.81;221;1966;1990;24;ST MALACHIE;QC;Lin
636;7057574;47.85;-69.38;152;1974;1984;11;ST MODESTE;QC;Lin
637;7060400;48.33;-71;159;1961;2017;45;BAGOTVILLE A;QC;Lin
638;7063370;48.42;-71.14;135;1995;2024;30;JONQUIERE;QC;Lin
639;7063690;48.41;-71.75;152;1972;1999;27;LAC STE CROIX;QC;Lin
640;7065100;47.96;-71.41;548;1970;1990;19;MONT APICA;QC;Lin
641;7065639;48.84;-72.54;137;1962;2024;48;NORMANDIN;QC;Lin
